timestamp,bitcoin_price,bitcoin_market_cap,bitcoin_volume,ethereum_price,ethereum_market_cap,ethereum_volume,ripple_price,ripple_market_cap,ripple_volume,bitcoin_pct_return,bitcoin_log_return,ethereum_pct_return,ethereum_log_return,ripple_pct_return,ripple_log_return
2026-02-13 00:00:21.646000+00:00,66219.20864320037,1323184293865.0469,47822323874.33049,1944.2434019800276,234823649406.4735,19422785505.53608,1.3613529875277222,82929969245.25221,2433891203.566312,-0.000202540341346924,-0.0002025608554118577,0.00047496236518607127,0.00047484960626464955,-0.0008350455294988679,-0.0008353943742313788
2026-02-13 00:02:26.949000+00:00,66205.79386504431,1323512671238.7207,47762007764.95301,1945.1664060325418,235074846007.31265,19421275178.180984,1.358254403457492,82741211822.30441,2449092722.3172774,-0.000202581372247157,-0.00020260189462502888,0.00047473688303334427,0.00047462423113121995,-0.002276106269731959,-0.002278700536906946
2026-02-13 00:02:43.643000+00:00,66192.37908688825,1323841048612.3945,47701691655.57554,1941.9762463133754,234634669013.55566,19371615175.67267,1.3551558193872617,82552454399.3566,2464294241.0682435,-0.0002026224197749782,-0.00020264295047084228,-0.001640044630255133,-0.001641390975695515,-0.0022812987481156677,-0.0022839048744276317
2026-02-13 01:02:43.373000+00:00,66050.11543481587,1320994762271.958,47907655682.95061,1938.7860865942093,234194492019.7987,19321955173.164352,1.3520572353170315,82363696976.4088,2479495759.819209,-0.002149245185546711,-0.0021515581276278376,-0.0016427387951949424,-0.0016440895700857942,-0.002286514971858611,-0.002289133038811087
2026-02-13 01:03:04.364000+00:00,65907.85178274351,1318148475931.5212,48113619710.325676,1935.595926875043,233754315026.04175,19272295170.656033,1.3534934354217651,82458360687.61087,2482571009.6348495,-0.002153874389708821,-0.002156197313275242,-0.0016454418263184278,-0.0016467970525549755,0.0010622332155907355,0.0010616694450904308
2026-02-13 01:03:05.298000+00:00,66131.02778928555,1321884019765.5652,48206282911.48537,1932.4057671558767,233314138032.28476,19222635168.147717,1.3549296355264988,82553024398.81294,2485646259.4504895,0.0033861823819976156,0.003380462175905655,-0.0016481537674636337,-0.0016495134670856475,0.001061106073474427,0.0010605434983575897
2026-02-13 02:02:40.046000+00:00,66354.20379582758,1325619563599.6091,48298946112.645065,1935.3555970642522,233598426599.22446,19595549662.21728,1.3563658356312327,82647688110.01501,2488721509.2661295,0.0033747548465923316,0.0033690731407760503,0.0015265064711109666,0.001525342544451624,0.0010599813208571618,0.0010594199373258949
2026-02-13 02:03:02.902000+00:00,66456.38560564142,1327726001401.4001,48183399205.25799,1938.3054269726276,233882715166.16415,19968464156.286846,1.3578020357359664,82742351821.21709,2491796759.08177,0.0015399447807145084,0.0015387602816368732,0.0015241798007818996,0.0015230194176880187,0.0010588589501483447,0.001058298754420823
2026-02-13 02:03:12.906000+00:00,66558.56741545528,1329832439203.1912,48067852297.87092,1941.255256881003,234167003733.10385,20341378650.35641,1.3605202708703212,82880321918.94595,2492298225.757464,0.0015375769970431552,0.0015363961358206366,0.0015218602121869207,0.0015207033565005636,0.002001937736734627,0.0019999365297997673
2026-02-13 03:00:22.916000+00:00,66660.74922526913,1331938877004.9822,47952305390.48384,1943.3880110902262,234479040737.7773,20250711761.85548,1.363238506004676,83018292016.67482,2492799692.4331584,0.0015352164834923077,0.001534039243391633,0.001098646971676276,0.0010980439007596968,0.0019979379892782756,0.0019959447656237267
